model,modelLabel,startProduction,predecessorLabel,successorLabel,height,width,length,mass,website,image
http://www.wikidata.org/entity/Q10403914,Škoda 304,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Commercial%20vehicle%2C%20Skoda-brand%2C%20Czech%20brand%20Fortepan%2071315.jpg
http://www.wikidata.org/entity/Q10403941,Škoda 306,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20306%20N%20-%20all-metal%20body%20%28Auto%20magazine%2C%201931%29.png
http://www.wikidata.org/entity/Q391900,Škoda 4 R,,Laurin & Klement - Škoda 110,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%204%20R%20Coup%C3%A9%201928%20%284-cylinder%2C%2075x110%20mm%2C%2014-34%20HP%29.png
http://www.wikidata.org/entity/Q391885,Škoda 420,,,,1500,1360,3770,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20420%20Popular%20%281937%29%20Classic-Days%202022%20IMG%207042.jpg
http://www.wikidata.org/entity/Q391887,Škoda 422,,Škoda 420,,,,,950,,http://commons.wikimedia.org/wiki/Special:FilePath/Unknown%20model%20of%20Skoda%20in%20Praque.jpg
http://www.wikidata.org/entity/Q391890,Škoda 430,,,,1750,1660,4430,,,http://commons.wikimedia.org/wiki/Special:FilePath/110%20let%20zalo%C5%BEen%C3%AD%20autoklubu%20v%20Liberci%2003.JPG
http://www.wikidata.org/entity/Q9396969,Škoda 450,,Škoda 1101/1102,Škoda Felicia,1380,1600,4065,930,,http://commons.wikimedia.org/wiki/Special:FilePath/Techno%20Classica%202018%2C%20Essen%20%28IMG%209652%29.jpg
http://www.wikidata.org/entity/Q10404163,Škoda 504,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/N%C3%A1kladn%C3%AD%20automobil%20zn.%20%C5%A0koda%201930%20%28Pivovar%20Vy%C5%A1kov-%20czech%20republic%29.jpg
http://www.wikidata.org/entity/Q10404175,Škoda 506,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20506%206-cylinder%20of%205-tonne%20capacity%20%28Auto%20magazine%2C%201929%29.png
http://www.wikidata.org/entity/Q131985540,Škoda 550,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20550%20Wood%20system%20truck%20%28Auto%20magazine%2C%201927%29.png
http://www.wikidata.org/entity/Q391915,Škoda 6 R,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%206%20R%2C%206-cylinder%20Limousine%20%28%C4%8Cesk%C3%BD%20sv%C4%9Bt%2C%201928%29.png
http://www.wikidata.org/entity/Q391906,Škoda 633,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20633%20-%201933.JPG
